дата;wiki id;page id;имя;профессия;ссылка
1900-01-01;Q1554745;1490940;Якобсон, Гуннар;Finnish figure skater;https://ru.wikipedia.org/wiki/Якобсон,_Гуннар
1900-01-01;Q1634952;1569287;Дистлер, Хуго (фигурист);Austrian figure skater;https://ru.wikipedia.org/wiki/Дистлер,_Хуго_(фигурист)
1900-01-01;Q1701055;1634365;Джон Миэн;Irish Roman Catholic priest in The Gambia;https://ru.wikipedia.org/wiki/Джон_Миэн
1900-01-01;Q1884028;1814207;Мэгги Джонс;American blues singer and pianist;https://ru.wikipedia.org/wiki/Мэгги_Джонс
1900-01-01;Q1990536;1919166;Орн, Р.;British cricketer, played for France in 1900 Summer Olympics;https://ru.wikipedia.org/wiki/Орн,_Р.
1900-01-01;Q2075834;2002921;Питер Хьюз;Irish politician;https://ru.wikipedia.org/wiki/Питер_Хьюз
1900-01-01;Q2388296;2307272;Мориц, Маурицио;бельгийский велогонщик;https://ru.wikipedia.org/wiki/Мориц,_Маурицио
1900-01-01;Q2578424;2487910;Уильям Дэвис;Uruguayan footballer;https://ru.wikipedia.org/wiki/Уильям_Дэвис
1900-01-01;Q2824915;2705533;Зильберт, Адольф;French chess player;https://ru.wikipedia.org/wiki/Зильберт,_Адольф
1900-01-01;Q2848768;2728287;Веркрёйссе, Андре;Belgian bicycle racer;https://ru.wikipedia.org/wiki/Веркрёйссе,_Андре
1900-01-01;Q5831190;5599832;Эмилио Лопес;Mexican military personnel;https://ru.wikipedia.org/wiki/Эмилио_Лопес
1900-01-01;Q6002758;5782348;Мартин Лопес;Mexican military personnel;https://ru.wikipedia.org/wiki/Мартин_Лопес
1900-01-01;Q6026248;5808839;Баштуг, Тюркан;Turkish politician;https://ru.wikipedia.org/wiki/Баштуг,_Тюркан
1900-01-01;Q6068433;5855984;Педро Карвахаль;Mexican military personnel;https://ru.wikipedia.org/wiki/Педро_Карвахаль
1900-01-01;Q6179482;5975908;Дженни Спаркс;Fictional Superhero "Jenny Sparks" from the Windstorm comic book universe.;https://ru.wikipedia.org/wiki/Дженни_Спаркс
1900-01-01;Q6213472;6013040;Джоел Галлен;American film director;https://ru.wikipedia.org/wiki/Джоел_Галлен
1900-01-01;Q6261409;6065282;Джон Турман;American screenwriter;https://ru.wikipedia.org/wiki/Джон_Турман
1900-01-01;Q6753383;6597625;Рейсс, Маня;American politician;https://ru.wikipedia.org/wiki/Рейсс,_Маня
1900-01-01;Q6823053;6674272;Лиф, Залман;;https://ru.wikipedia.org/wiki/Лиф,_Залман
1900-01-01;Q7022774;6905085;Яаков Давид Камзон;Израильский поэт и писатель;https://ru.wikipedia.org/wiki/Яаков_Давид_Камзон
1900-01-01;Q7055067;6945141;Зеев Сапир;Израильский бизнесмен;https://ru.wikipedia.org/wiki/Зеев_Сапир
1900-01-01;Q7358609;7266590;Роджер Максвелл;English film actor (1900-1971);https://ru.wikipedia.org/wiki/Роджер_Максвелл
