дата;wiki id;page id;имя;профессия;ссылка
1924-06-03;Q21856869;23893661;Вомперский, Валентин Павлович;Russian linguist;https://ru.wikipedia.org/wiki/Вомперский,_Валентин_Павлович
1924-06-03;Q3134025;2994263;Херк Харви;American actor and director (1924-1996);https://ru.wikipedia.org/wiki/Херк_Харви
1924-06-03;Q26502348;28453193;Челли, Тереза;американская актриса;https://ru.wikipedia.org/wiki/Челли,_Тереза
1924-06-03;Q380156;361827;Джей Ван Андел;американский предприниматель;https://ru.wikipedia.org/wiki/Джей_Ван_Андел
1924-06-03;Q1178891;1124450;Кен Армстронг;English footballer (1924-1984);https://ru.wikipedia.org/wiki/Кен_Армстронг
1924-06-03;Q15550926;17190131;Бернард Глассер;American film director and producer;https://ru.wikipedia.org/wiki/Бернард_Глассер
1924-06-03;Q6830709;6682599;Майкл Гоу;British Army general;https://ru.wikipedia.org/wiki/Майкл_Гоу
1924-06-04;Q11413058;12551761;Киккава, Цунэо;;https://ru.wikipedia.org/wiki/Киккава,_Цунэо
1924-06-04;Q4276047;4086997;Максаковский, Владимир Павлович;Советский и российский географ;https://ru.wikipedia.org/wiki/Максаковский,_Владимир_Павлович
1924-06-04;Q5497241;5259102;Фредерик Александр;English cricketer (1924-1984);https://ru.wikipedia.org/wiki/Фредерик_Александр
1924-06-04;Q87666;89891;Хайнц Вестфаль;немецкий политик;https://ru.wikipedia.org/wiki/Хайнц_Вестфаль
1924-06-04;Q365550;348078;Деннис Уивер;Американский актёр;https://ru.wikipedia.org/wiki/Деннис_Уивер
1924-06-04;Q1901474;1831515;Владимир Георгиевич Реданский;советский и российский военный журналист и историк флота;https://ru.wikipedia.org/wiki/Владимир_Георгиевич_Реданский
1924-06-04;Q3229675;3083118;Леонард Джонс;Canadian politician;https://ru.wikipedia.org/wiki/Леонард_Джонс
1924-06-04;Q3427114;3265096;Рене Блох;;https://ru.wikipedia.org/wiki/Рене_Блох
